"ID.","Patriot1","Hedon1","Curious3","Benev2","Selfdir3","Free1","Hedon3","Soceq4","Open2","Benev4","Hedon4","Conform2","Toler3","GPeace1","Stim3","Compet2","Work4","Soceq3","GPeace2","Selfcon1","Spirit3","Stim2","Toler2","Work3","Benev3","Commit3","Open4","Pragmat4","Democ1","Selfcon4","Curious1","Selfdir4","Commit1","Free2","Toler1","Conform3","Environ3","Hedon2","Work2","Open1","Patriot3","Selfdir2","Pergrow2","Free3","Compet4","Stim4","Soceq2","Frugal2","Conform1","Curious2","Pragmat2","Patriot2","Selfcon5","Curious4","Compet3","Aesth3","Pergrow3","Selfcon2","Aesth2","Commit2","Pragmat3","Democ2","Selfcon3","Commit4","Stim1","Frugal3","Benev1","Conform4","Compet1","Spirit1","Soceq1","Democ3","Curious5","Environ4","GPeace3","Work1","Pergrow1","Frugal1","Toler4","Selfdir1","Aesth1","Open3","Environ2","Pragmat1","Spirit2","Work5","Environ1","Finsec1","Family1","Wisdom4","Safe1","Achieve4","Power3","Compan1","Ipeace2","Love1","Safe2","Socacc3","Love2","Ipeace4","Power2","Prosper1","Compan3","Wisdom3","Family3","Power4","Achieve5","Safe3","Phywel2","Finsec3","Compan2","Socacc1","Ipeace3","Prosper3","Family2","Achieve1","Phywel3","Wisdom1","Prosper4","Socacc2","Compan4","Prosper2","Ipeace1","Achieve2","Phywel1","Achieve3","Wisdom2","Power1","Finsec2","Love3","Workethic","Wisdom","Tolerance","Stimulation","Spirituality","SocialJustice","SocialAcceptance","SelfDirection","SelfControl","PersonalSafety","Prosperity","Pragmatism","Power","PhysicalWellbeing","PersonalGrowth","Patriotism","Openness","MatureLove","InnerPeace","Hedonism","GlobalPeace","Frugality","Freedom","FinancialSecurity","FamilyTogetherness","Environmentalism","Democracy","Curiosity","Conformity","Competition","Companionship","Commitment","Benevolence","Aesthetics","Achievement","volunt","tv","intrnet","socmed","charit","excer","garden","impulse","eatout","pubtran","recycle","sportfan","attorg","commun","satjob","satlife","military","envichoi","authority","brandloyal","politics","gender","age","ethnicity","jobstatus","religion","Hhincome","retirement","educ","sexorien","marstatus"
1,2,2,8,5,8,7,2,4,4,6,1,2,2,4,8,3,8,8,6,8,3,6,6,8,6,2,8,8,7,5,8,8,2,8,8,5,5,5,8,8,4,8,9,9,8,6,8,8,3,8,8,5,8,8,2,8,9,9,9,2,8,8,8,5,7,5,5,2,3,7,5,1,8,7,6,8,9,3,6,8,8,8,6,8,1,9,6,8,2,8,8,8,5,3,5,1,6,3,1,9,2,5,8,9,7,7,7,7,8,8,5,5,7,8,6,7,8,8,3,3,5,8,9,8,8,7,9,5,8,1,8.2,8.5,5.5,6.33333333333333,3.66666666666667,6.25,3.66666666666667,8,7.6,7,6,8,4.75,8,9,3.66666666666667,7,1,8.33333333333333,2.5,5.33333333333333,5.33333333333333,8,8,5,6,5.33333333333333,8,3,4,5.25,2.75,5.5,8.33333333333333,7.4,2,0,2,0,250,2,0,300,10,80,77,1,2,2,2,3,2,3,1,2,4,"Male",55,"mixed                                      ","Student",2,"$20,000-$39,999","below $20,000","graduate degree",NA,"single"
2,7,3,7,9,8,7,NA,3,7,7,2,5,3,6,9,8,9,8,6,6,3,5,7,7,9,6,7,9,7,5,7,8,8,7,6,7,7,3,8,8,NA,7,9,7,7,7,7,8,7,7,8,7,4,NA,8,7,8,9,6,7,9,7,3,7,7,7,9,6,6,5,8,7,NA,7,7,9,9,9,9,9,8,8,8,9,5,9,7,8,8,9,8,8,2,8,8,8,7,9,9,9,1,3,9,8,9,5,9,7,7,5,8,9,7,4,9,7,8,9,1,8,8,3,7,8,6,8,8,2,3,9,8.4,8.5,6.25,6.33333333333333,4.33333333333333,6.5,8.66666666666667,8,5.4,7.33333333333333,2.75,8.75,2.5,7,8.66666666666667,7,7.5,8.66666666666667,7.66666666666667,2.66666666666667,6.33333333333333,8,7,5.33333333333333,8.66666666666667,7.25,7,7,6.25,7.25,8.25,7,8.5,7,8,1,7,2,0,1000,4,1,50,1,4,99,5,5,5,3,3,2,7,4,4,3,"Female",NA,"white                                      ","Faculty",12,"$60,000-$79,999",NA,"graduate degree","Heterosexual",NA
3,7,7,8,8,8,8,6,6,8,6,4,5,4,6,8,7,8,7,6,7,5,6,7,7,6,7,7,7,6,6,7,8,6,6,7,6,7,5,6,9,7,7,7,7,6,7,7,6,6,8,7,6,7,7,5,6,8,7,6,6,7,5,7,8,7,6,5,6,6,5,7,7,7,6,6,6,7,6,7,7,7,7,7,8,5,7,6,7,8,8,8,8,7,7,8,7,7,7,9,8,6,7,7,9,9,8,8,8,8,8,8,8,9,8,8,8,9,8,7,8,8,7,9,7,8,8,8,6,8,6,6.8,8.25,6.25,6.66666666666667,5,6.75,7.66666666666667,7.5,6.8,7.66666666666667,7.25,7.25,6.75,8.33333333333333,7.33333333333333,6.66666666666667,7.75,7.33333333333333,8.66666666666667,5.5,6,6,7,7.66666666666667,8.33333333333333,6.5,6,7.4,5.75,6,7.5,6.75,6.25,6.33333333333333,7.8,0.5,4,5,1,0,3,0,500,5,0,60,7,5,4,5,5,5,5,5,5,5,"Male",39,"Asian                                      ","Faculty",5,"$80,000-$99,999","$20,000-$59,999","graduate degree","Heterosexual","Married"
4,8,5,8,8,7,8,2,6,9,6,6,3,7,8,8,5,7,8,8,8,4,6,8,8,8,8,8,8,8,3,8,8,8,9,9,8,8,3,7,9,9,8,8,8,5,8,8,6,5,8,8,8,6,8,4,6,8,8,8,8,6,8,7,9,8,5,8,4,4,7,8,8,7,8,9,8,8,5,7,8,8,9,8,8,3,4,8,7,6,7,7,7,7,7,7,8,6,7,9,7,5,7,8,8,7,8,8,6,8,6,6,6,6,2,6,8,8,8,2,6,6,6,7,6,7,7,7,6,6,8,6.8,7.5,7.75,7.33333333333333,4.66666666666667,7.5,6.33333333333333,7.75,6.4,6.33333333333333,4.25,7.5,6.5,7.66666666666667,8,8.33333333333333,8.75,8.33333333333333,6.66666666666667,4,8.33333333333333,5.33333333333333,8.33333333333333,6.33333333333333,6.33333333333333,8,8,7.8,5,4.5,6.75,8.25,7.5,7.33333333333333,7.2,2,10,7,0,2000,6,6,2000,4,40,100,5,5,5,4,5,2,6,2,2,3,"Female",61,"Caucasian                                  ","Faculty",11,"$150,000-$199,999","$150,000-$199,999","graduate degree","Heterosexual","Married"
5,8,1,9,8,5,8,1,9,9,9,1,2,7,9,9,3,8,9,9,8,6,7,8,8,8,8,9,8,9,7,8,8,8,9,9,6,5,6,8,9,9,9,8,6,2,6,9,8,4,8,9,9,7,8,1,7,9,8,6,9,8,9,7,8,7,3,9,2,2,4,9,9,8,4,9,6,9,1,9,5,4,9,5,9,2,4,9,9,9,8,9,4,1,9,8,9,9,9,9,9,1,2,9,9,9,2,5,9,6,8,9,9,9,1,9,2,8,7,1,5,6,2,9,1,6,1,8,1,8,9,6.8,8,8.25,6.66666666666667,4,9,7.66666666666667,6.75,7.4,9,1.5,8.5,1.25,6.66666666666667,8.66666666666667,8.66666666666667,9,9,9,2.25,9,4,7.66666666666667,8.33333333333333,9,5.75,9,8.2,3.5,2,8.25,8.25,8.5,5.66666666666667,2.6,5,6,3,1,2500,9,4,200,1,40,99,6,6,6,6,6,6,6,2,1,2,"Female",63,"Caucasian                                  ","Administration",10,"$40,000-$59,999","$500,000 and above","graduate degree","Heterosexual","Married"
6,7,8,9,8,9,9,7,9,8,6,6,4,8,8,9,9,9,8,5,6,2,7,5,8,8,8,8,8,8,7,7,7,8,7,7,8,8,9,9,7,8,8,8,8,8,4,5,7,3,7,7,NA,5,6,2,7,9,8,9,8,7,8,5,8,5,6,8,1,7,2,9,8,8,8,8,8,8,8,9,8,5,8,8,8,1,8,8,9,9,8,9,2,8,9,9,9,9,2,9,8,2,7,9,8,8,4,5,9,9,7,5,5,8,2,9,7,9,9,3,3,5,6,8,4,9,3,9,5,9,9,8.4,8.5,7.25,5.33333333333333,1.66666666666667,7.75,3.33333333333333,8,6.2,9,4.5,7.5,4.75,9,8.33333333333333,7.5,7.75,9,8,7.5,7,7,8,8.33333333333333,8.66666666666667,8,8,7.4,4,6.5,7,8,7.5,7,4.2,5,5,2,0,500,18,2,2000,15,0,90,4,1,4,4,7,7,7,2,1,4,"Female",40,"caucasian                                  ","Faculty",5,"$40,000-$59,999","$60,000-$99,999","graduate degree","Heterosexual","single"
7,7,3,9,8,6,7,3,7,9,9,3,7,9,9,8,4,7,8,7,8,8,6,9,9,8,9,9,9,9,8,9,9,5,8,9,2,6,7,7,9,5,7,8,8,5,7,NA,6,3,9,8,7,8,9,3,9,8,5,9,9,8,9,9,9,4,5,9,3,3,9,8,3,7,7,8,7,9,4,9,8,9,7,7,7,2,8,6,9,3,8,8,6,2,9,7,8,5,4,9,8,2,5,6,8,8,8,8,4,6,6,6,3,9,4,9,8,8,8,5,5,3,7,8,8,4,8,9,3,8,9,7.6,8.25,9,5.66666666666667,6.33333333333333,7.66666666666667,4,7.5,7.6,5.66666666666667,5.25,8,3.75,6,8.33333333333333,6.33333333333333,8.5,8.66666666666667,8.33333333333333,4,8,5,7.66666666666667,7.66666666666667,6.66666666666667,6.5,7,8.6,3.75,3.75,6,8,8.5,9,7.6,0,35,30,5,1500,4,0,3000,5,0,90,5,5,4,6,6,4,6,3,5,2,NA,73,"caucasian                                  ","Staff",4,"$100,000-$149,999","$150,000-$199,999","graduate degree","Heterosexual","Married"
8,4,1,8,8,6,7,1,9,9,9,1,3,7,8,8,5,7,8,7,6,9,4,8,8,9,9,9,8,8,5,9,7,9,7,9,5,7,4,8,9,5,7,9,6,4,3,9,5,5,9,9,5,5,9,2,8,9,7,8,9,8,8,6,9,7,3,9,5,7,9,9,8,8,6,8,8,9,3,9,6,6,9,8,7,9,9,8,5,9,8,8,5,2,8,5,9,8,8,9,7,2,4,8,9,9,7,7,8,5,4,8,9,6,3,9,5,7,9,2,8,8,3,8,6,5,5,9,3,4,9,8,8.75,8.25,4.66666666666667,9,8.75,8.33333333333333,6.5,5.8,8,3,8,3.5,5.66666666666667,9,4.66666666666667,9,9,7,1.75,7.66666666666667,3.66666666666667,6.66666666666667,4.33333333333333,9,7.25,8,8.6,4.5,4.5,8,9,8.75,7.33333333333333,5.6,1,15,10,4,NA,2,0,NA,5,0,82,6,5,3,5,6,6,5,3,6,1,"Female",57,"midwestern American                        ","Faculty",12,"$80,000-$99,999","$20,000-$59,999","graduate degree","Heterosexual",NA
9,7,5,9,9,7,9,7,8,9,7,8,6,8,5,8,8,9,8,7,9,9,4,6,9,9,9,9,8,7,9,7,8,9,8,8,8,8,8,9,9,8,9,9,8,7,2,8,5,4,9,9,8,9,9,3,4,9,9,9,9,9,7,8,9,5,3,9,4,4,9,9,7,9,9,8,9,9,1,9,8,9,9,8,9,9,9,8,8,9,9,9,7,3,9,5,9,9,7,9,9,2,3,9,9,9,7,5,9,7,7,9,9,9,5,9,9,9,9,2,8,9,6,9,8,6,3,9,2,8,9,9,9,7.75,3.66666666666667,9,8.25,8,8,8.8,9,4,8.75,3.5,7.33333333333333,9,7.66666666666667,9,9,9,7,6.66666666666667,3,8.33333333333333,7.66666666666667,9,8.25,7,8.6,5.5,5.5,9,9,8.5,7.33333333333333,6.4,1,20,10,2,500,1,0,2500,30,0,8,5,7,5,6,7,7,6,2,7,5,"Female",34,"caucasian                                  ","Faculty",3,"$100,000-$149,999","$20,000-$59,999","graduate degree","Heterosexual","Married"
10,5,1,8,9,7,8,2,7,8,8,1,3,7,9,8,7,9,8,8,9,9,7,8,9,9,9,9,8,6,7,7,7,9,8,8,5,6,5,9,9,5,8,9,8,5,1,4,9,2,9,8,5,6,8,2,7,9,9,9,9,7,5,7,9,3,7,9,5,4,9,9,1,8,7,8,8,9,7,8,8,8,9,6,4,9,9,6,9,9,7,8,9,2,9,8,9,8,8,9,9,1,5,9,9,9,5,9,8,9,9,9,9,9,8,9,9,9,9,1,9,9,9,9,9,9,5,9,2,9,9,8.8,8.5,7.75,3.66666666666667,9,7,8.66666666666667,7.5,7.6,8,5.75,6.75,2.5,9,9,5,8.75,9,9,2.25,8.33333333333333,7.66666666666667,8,9,9,6.25,4,8,3.75,4.5,9,9,8.75,8,8.2,0,2,1,0.5,12000,5,0,100,12,0,70,1,3,4,4,6,7,4,6,5,5,"Female",30,"White/Caucasian                            ","Staff",6,"$100,000-$149,999","$300,000-$399,999","graduate degree","Heterosexual","Married"
